"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
427,HOU,1,66,,229,38,10,1,9,24,24,18,1,73,6,1,0,2,0,0,0,0,0,0,0,0,5
428,OAK,1,118,,444,73,15,8,2,54,20,50,0,70,5,3,9,5,16,5,0,0,0,0,0,0,5
429,MIL,1,157,,588,81,29,4,21,85,63,74,2,169,13,2,0,9,16,3,0,0,0,0,0,0,5
430,SEA,1,93,,285,40,12,3,10,42,36,26,0,80,4,0,1,3,3,0,0,0,0,0,0,0,5
431,LAA,1,77,,243,36,9,0,11,36,29,16,0,35,1,2,0,5,3,1,0,0,0,0,0,0,5
432,WSN,1,81,,300,61,21,3,5,42,31,42,2,57,1,1,0,3,8,2,0,0,0,0,0,0,5
433,ARI,1,50,,109,18,6,1,1,11,10,9,0,22,0,1,0,4,1,0,0,0,0,0,0,0,5
434,BAL,1,144,,526,80,27,1,23,67,83,60,4,112,4,3,0,17,3,0,0,0,0,0,0,0,5
435,PHI,1,125,,315,52,11,0,11,40,43,37,2,81,2,6,0,5,1,0,0,0,0,0,0,0,5
436,MIN,1,145,,519,69,30,1,35,85,110,76,4,141,14,6,0,15,3,2,0,0,0,0,0,0,5
437,LAA,1,75,,171,28,5,0,3,19,13,15,0,33,1,1,13,7,0,0,0,0,0,0,0,0,5
438,NYY,1,56,,61,9,3,1,3,11,8,2,0,12,0,0,0,1,7,0,0,0,0,0,0,0,5
438,CHW,2,45,,163,29,7,1,5,20,22,9,0,40,1,3,0,1,12,4,0,0,0,0,0,0,5
439,NYM,1,156,,581,114,41,2,21,91,93,81,16,112,3,5,0,15,15,10,0,0,0,0,0,0,5
440,BOS,1,42,,146,22,7,1,4,25,14,14,0,39,4,1,0,4,0,0,0,0,0,0,0,0,5
440,CHW,2,80,,292,45,8,1,15,47,46,37,2,69,13,2,0,6,0,0,0,0,0,0,0,0,5
441,ARI,1,101,,325,37,24,0,14,36,41,36,0,79,2,0,0,4,8,3,0,0,0,0,0,0,5
441,NYM,2,20,,31,2,2,0,0,0,2,1,0,11,0,0,4,0,0,0,0,0,0,0,0,0,5
442,DET,1,151,,574,107,27,1,18,54,74,20,1,112,7,7,0,20,0,2,0,0,0,0,0,0,5
443,COL,1,98,,174,42,7,2,4,36,15,13,0,31,4,0,5,1,14,2,0,0,0,0,0,0,5
444,TEX,1,156,,611,131,27,3,8,79,67,33,3,70,1,6,0,26,2,2,0,0,0,0,0,0,5
445,WSN,1,145,,578,101,36,1,25,93,95,57,8,116,2,4,0,20,5,2,0,0,0,0,0,0,5
446,TBR,1,157,,560,85,39,7,20,88,74,97,7,103,3,6,2,13,14,9,0,0,0,0,0,0,5
