"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
73,STL,1,119,,469,87,35,0,22,76,92,37,1,89,1,7,0,15,2,1,0,0,0,0,0,0,5
74,SFG,1,143,,435,75,26,3,4,44,45,33,6,95,3,3,2,4,1,4,0,0,0,0,0,0,5
75,BOS,1,31,,117,18,10,2,3,23,19,3,0,22,2,2,1,1,5,0,0,0,0,0,0,0,5
76,OAK,1,120,,455,75,25,7,11,68,46,45,0,64,0,2,6,9,39,4,0,0,0,0,0,0,5
77,LAD,1,78,,283,58,20,0,6,26,40,9,1,34,2,1,1,7,2,1,0,0,0,0,0,0,5
78,TEX,1,159,,585,83,45,0,24,86,90,48,2,140,5,4,0,7,8,4,0,0,0,0,0,0,5
79,STL,1,51,,126,21,9,1,1,11,11,3,0,19,0,2,0,4,0,1,0,0,0,0,0,0,5
80,COL,1,101,,358,45,30,2,16,53,58,32,1,78,0,4,0,12,8,3,0,0,0,0,0,0,5
81,CLE,1,72,,97,12,4,0,1,5,7,9,1,25,0,0,3,0,0,3,0,0,0,0,0,0,5
82,CLE,1,64,,207,34,6,2,4,25,19,17,0,27,0,0,0,0,4,0,0,0,0,0,0,0,5
83,BAL,1,139,,515,86,20,0,33,75,85,37,6,169,7,3,0,8,2,3,0,0,0,0,0,0,5
84,NYM,1,156,,519,60,26,0,32,66,90,61,3,141,1,3,0,10,0,2,0,0,0,0,0,0,5
85,TOR,1,142,,447,80,24,3,8,64,43,29,3,102,6,4,1,8,46,13,0,0,0,0,0,0,5
86,CHW,1,131,,524,103,29,6,9,81,50,47,3,109,9,1,4,1,26,12,0,0,0,0,0,0,5
87,CHC,1,148,,506,88,28,8,9,76,50,61,1,89,9,4,2,9,7,8,0,0,0,0,0,0,5
88,SDP,1,130,,348,69,19,6,8,56,36,27,0,52,2,3,2,9,13,5,0,0,0,0,0,0,5
89,WSN,1,48,,85,11,5,0,0,13,6,14,0,18,0,1,1,3,1,0,0,0,0,0,0,0,5
90,STL,1,143,,374,64,10,7,4,41,26,37,3,83,5,3,7,5,6,3,0,0,0,0,0,0,5
91,WSN,1,130,,513,90,33,2,25,72,73,30,1,113,3,1,0,17,21,6,0,0,0,0,0,0,5
92,ATL,1,51,,108,16,6,0,2,10,13,9,1,21,0,1,0,4,0,0,0,0,0,0,0,0,5
93,DET,1,88,,314,70,18,5,8,56,35,23,2,53,2,2,3,4,1,1,0,0,0,0,0,0,5
94,MIA,1,120,,319,71,13,2,5,26,39,14,5,53,2,7,0,8,4,2,0,0,0,0,0,0,5
95,HOU,1,31,,109,22,2,2,5,14,16,4,1,17,0,0,0,4,0,0,0,0,0,0,0,0,5
96,CLE,1,43,,124,20,2,1,2,18,11,5,0,40,3,2,1,0,4,0,0,0,0,0,0,0,5
97,OAK,1,75,,274,41,16,0,9,34,33,14,0,61,5,1,0,6,4,1,0,0,0,0,0,0,5
98,MIN,1,134,,484,80,34,1,18,56,75,29,5,98,7,8,0,17,0,0,0,0,0,0,0,0,5
99,HOU,1,91,,178,23,4,1,8,15,16,8,1,38,4,0,1,5,2,4,0,0,0,0,0,0,5
100,MIN,1,84,,316,56,11,1,6,33,33,16,0,58,1,3,4,10,9,2,0,0,0,0,0,0,5
101,ARI,1,40,,135,15,8,1,2,17,12,19,1,35,0,1,0,1,0,1,0,0,0,0,0,0,5
101,OAK,2,39,,152,28,5,0,5,21,16,18,1,41,0,2,0,1,1,1,0,0,0,0,0,0,5
102,NYM,1,121,,401,66,15,0,15,43,57,51,0,120,4,3,0,5,1,0,0,0,0,0,0,0,5
103,CLE,1,81,,232,26,10,0,11,29,31,28,1,59,1,3,0,9,1,2,0,0,0,0,0,0,5
104,CHW,1,151,,539,50,19,0,41,87,96,105,3,222,1,4,0,8,2,1,0,0,0,0,0,0,5
105,KCR,1,102,,292,63,8,5,0,52,9,30,1,56,1,3,4,5,30,5,0,0,0,0,0,0,5
106,ARI,1,22,,85,15,3,2,2,19,5,14,0,15,3,0,1,0,2,3,0,0,0,0,0,0,5
107,LAD,1,133,,423,80,20,1,13,44,52,65,11,107,7,4,6,17,0,0,0,0,0,0,0,0,5
108,LAD,1,110,,415,78,21,1,7,62,31,40,0,70,7,0,2,5,5,0,0,0,0,0,0,0,5
109,BOS,1,74,,303,60,18,0,4,43,26,19,0,43,0,1,0,5,14,3,0,0,0,0,0,0,5
110,TOR,1,151,,542,86,24,0,42,93,110,84,12,94,11,7,0,6,13,3,0,0,0,0,0,0,5
111,KCR,1,155,,605,135,30,7,5,68,52,27,2,100,8,0,8,14,35,5,0,0,0,0,0,0,5
112,CHW,1,36,,87,13,4,1,0,14,3,9,0,23,0,0,1,0,2,0,0,0,0,0,0,0,5
112,MIN,2,14,,44,10,0,0,0,4,6,2,0,8,1,1,1,0,1,0,0,0,0,0,0,0,5
113,TOR,1,145,,558,109,22,1,9,58,51,35,1,70,4,4,7,21,5,1,0,0,0,0,0,0,5
114,WSN,1,160,,594,91,37,2,17,82,56,46,4,189,13,2,3,11,20,6,0,0,0,0,0,0,5
115,LAD,1,149,,556,101,36,1,20,79,89,50,6,124,9,3,0,13,2,2,0,0,0,0,0,0,5
116,DET,1,162,,581,118,33,1,30,83,108,85,18,84,17,7,0,19,1,0,0,0,0,0,0,0,5
117,SEA,1,66,,166,21,5,2,2,18,11,19,0,48,0,2,7,3,4,1,0,0,0,0,0,0,5
118,BAL,1,77,,153,24,2,1,6,15,19,6,0,43,3,1,3,3,1,0,0,0,0,0,0,0,5
119,WSN,1,83,,277,40,12,1,6,22,26,13,3,59,1,3,2,6,1,2,0,0,0,0,0,0,5
120,MIN,1,43,,137,22,5,2,1,16,10,10,0,30,0,0,3,3,3,1,0,0,0,0,0,0,5
121,CHW,1,52,,136,16,6,0,7,19,13,12,0,56,4,0,1,2,2,1,0,0,0,0,0,0,5
122,PHI,1,47,,97,25,2,0,1,13,5,7,2,23,1,0,0,2,0,1,0,0,0,0,0,0,5
123,SDP,1,91,,315,64,13,3,6,45,26,28,0,57,6,1,0,6,8,2,0,0,0,0,0,0,5
124,COL,1,143,,454,94,18,11,13,72,53,68,1,128,0,2,6,5,12,5,0,0,0,0,0,0,5
125,TOR,1,27,,50,6,5,1,0,5,2,4,0,10,0,0,0,0,0,1,0,0,0,0,0,0,5
125,HOU,2,31,,85,15,4,0,2,5,5,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5
125,TBR,3,24,,57,6,5,0,2,4,8,4,0,16,0,2,0,1,0,0,0,0,0,0,0,0,5
126,ATL,1,93,,192,25,11,0,9,17,32,11,2,70,1,1,0,5,1,1,0,0,0,0,0,0,5
127,KCR,1,148,,561,87,26,3,16,58,49,34,9,119,7,1,0,14,4,7,0,0,0,0,0,0,5
128,PHI,1,55,,195,51,10,3,2,24,14,9,2,18,5,0,1,4,0,1,0,0,0,0,0,0,5
129,CIN,1,128,,422,64,26,6,19,55,67,36,1,103,3,4,0,9,3,2,0,0,0,0,0,0,5
130,ATL,1,147,,540,82,33,2,23,91,94,64,4,129,7,9,0,10,2,0,0,0,0,0,0,0,5
131,STL,1,144,,501,101,25,1,20,70,79,57,2,122,7,2,0,19,3,3,0,0,0,0,0,0,5
132,TBR,1,44,,98,20,3,2,0,14,5,8,0,14,1,0,0,0,7,2,0,0,0,0,0,0,5
133,STL,1,121,,477,100,18,3,5,69,49,44,1,57,1,4,5,7,12,4,0,0,0,0,0,0,5
134,PHI,1,58,,190,24,15,1,3,14,24,7,0,29,0,0,3,6,0,0,0,0,0,0,0,0,5
135,TEX,1,122,,240,57,12,3,1,31,26,14,1,41,10,0,5,4,13,7,0,0,0,0,0,0,5
136,KCR,1,64,,189,39,10,3,0,22,17,11,0,17,0,2,8,3,9,3,0,0,0,0,0,0,5
137,COL,1,60,,89,15,4,0,1,7,8,20,2,24,2,2,0,4,0,0,0,0,0,0,0,0,5
138,KCR,1,53,,181,34,7,1,1,21,15,8,0,35,0,0,0,4,3,0,0,0,0,0,0,0,5
139,TBR,1,42,,100,21,4,0,1,10,9,8,0,24,0,0,1,4,0,0,0,0,0,0,0,0,5
