"season_order","gp","gs","w","l","sv","bs","hld","outs","tbf","h","r","er","hr","k","bb","ibb","hbp","cg","sho","wp","bk","era","whip","k_percent","bb_percent","babip","player_id"
522,PIT,1,31,31,16,10,0,202.1,607,851,189,86,79,18,180,62,1,9,1,1,10,0,0,0,0,0,5
523,MIN,1,67,0,4,4,0,71.2,215,309,71,33,28,4,36,26,5,3,0,0,6,0,0,0,0,0,5
524,WSN,1,70,0,1,2,2,56.2,170,239,58,16,15,4,57,12,3,3,0,0,2,0,0,0,0,0,5
525,SDP,1,17,0,0,1,0,18,54,92,26,11,11,1,18,10,1,1,0,0,1,0,0,0,0,0,5
526,MIN,1,64,0,3,2,5,62,186,245,41,21,15,5,55,16,1,5,0,0,0,0,0,0,0,0,5
527,MIN,1,1,0,0,0,0,1,3,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5
528,NYM,1,56,0,2,2,0,30.2,92,125,18,16,15,2,34,18,5,1,0,0,0,0,0,0,0,0,5
529,CHC,1,25,0,1,1,0,21.2,65,99,16,15,13,1,27,18,1,1,0,0,5,0,0,0,0,0,5
530,COL,1,2,2,0,2,0,5.2,17,33,9,9,7,3,5,7,1,0,0,0,0,0,0,0,0,0,5
531,ARI,1,32,32,13,12,0,200,600,839,184,93,84,16,156,74,0,11,2,1,10,2,0,0,0,0,5
532,SFG,1,32,32,16,5,0,219.1,658,876,177,73,68,21,193,51,1,9,2,2,8,0,0,0,0,0,5
533,CHC,1,80,0,3,6,2,77.2,233,327,79,32,31,7,54,21,4,0,0,0,1,0,0,0,0,0,5
534,SEA,1,18,0,0,0,0,25,75,109,25,11,11,0,28,11,0,0,0,0,1,0,0,0,0,0,5
535,MIN,1,30,0,1,4,14,29.1,88,120,28,13,12,5,18,4,1,0,0,0,3,0,0,0,0,0,5
536,LAD,1,33,33,12,12,0,198.1,595,817,188,91,82,25,162,54,4,2,0,0,6,0,0,0,0,0,5
537,OAK,1,11,0,1,1,0,9.2,29,44,8,5,5,0,8,10,0,0,0,0,1,0,0,0,0,0,5
538,BOS,1,8,0,1,0,0,6,18,34,7,6,6,1,2,10,2,0,0,0,2,0,0,0,0,0,5
538,STL,2,3,3,0,2,0,17,51,72,16,7,7,2,12,3,0,2,0,0,0,0,0,0,0,0,5
539,HOU,1,30,0,0,2,0,29.2,89,143,43,21,20,4,27,14,3,1,0,0,2,0,0,0,0,0,5
539,TOR,2,3,0,0,0,0,2.2,8,20,8,10,9,1,4,2,1,1,0,0,0,0,0,0,0,0,5
540,LAA,1,28,0,1,2,0,39.2,119,172,42,21,21,6,28,17,0,0,0,0,2,0,0,0,0,0,5
541,TOR,1,6,0,0,0,0,9,27,40,7,5,5,4,9,6,0,0,0,0,1,0,0,0,0,0,5
542,NYM,1,4,0,0,0,0,3.2,11,18,6,3,3,2,3,0,0,1,0,0,1,0,0,0,0,0,5
543,TOR,1,11,2,0,2,0,22,66,97,22,15,15,7,16,14,0,0,0,0,0,0,0,0,0,0,5
544,NYM,1,17,0,0,0,0,13.1,40,57,13,7,7,2,5,4,0,2,0,0,0,0,0,0,0,0,5
545,SDP,1,33,5,3,4,0,46.1,139,196,42,23,22,5,52,19,1,1,0,0,2,0,0,0,0,0,5
546,SFG,1,73,0,7,6,25,63.1,190,272,55,24,20,8,55,22,4,2,0,0,1,0,0,0,0,0,5
547,LAA,1,4,0,1,0,0,5,15,29,5,4,4,2,2,6,1,1,0,0,0,0,0,0,0,0,5
548,CHC,1,13,0,0,1,0,16,48,88,24,16,14,2,13,12,0,3,0,0,2,0,0,0,0,0,5
549,TOR,1,21,9,2,4,0,61.1,184,270,70,40,39,11,51,23,0,3,0,0,0,0,0,0,0,0,5
550,HOU,1,44,0,0,1,1,31,93,138,30,15,13,3,36,14,1,1,0,0,3,0,0,0,0,0,5
551,COL,1,14,14,3,5,0,69,207,314,80,35,34,10,45,32,0,2,0,0,3,0,0,0,0,0,5
552,NYY,1,22,0,1,0,0,20.2,62,95,26,11,10,3,22,6,2,2,0,0,0,0,0,0,0,0,5
553,CIN,1,68,0,5,5,38,71.2,215,276,35,13,12,4,122,23,0,4,0,0,4,0,0,0,0,0,5
554,CHC,1,14,0,0,1,0,12,36,50,8,5,5,0,12,10,2,0,0,0,0,0,0,0,0,0,5
555,COL,1,19,12,5,6,1,64.2,194,294,74,43,39,9,41,33,2,0,0,0,4,0,0,0,0,0,5
556,TOR,1,9,2,1,1,0,21.1,64,102,25,22,20,6,27,10,1,2,0,0,0,0,0,0,0,0,5
556,OAK,2,4,0,0,0,0,3.1,10,21,9,7,7,1,3,1,0,1,0,0,1,0,0,0,0,0,5
557,KCR,1,34,34,11,14,0,191.2,575,827,215,114,108,33,140,47,3,8,0,0,5,0,0,0,0,0,5
558,BAL,1,32,32,12,11,0,192.2,578,818,186,97,86,29,154,57,0,5,0,0,2,1,0,0,0,0,5
559,MIA,1,44,0,0,0,1,25.1,76,104,16,11,7,0,27,9,0,3,0,0,2,0,0,0,0,0,5
559,LAD,2,36,0,0,0,0,13.1,40,64,13,7,6,1,11,9,3,2,0,0,0,0,0,0,0,0,5
560,MIL,1,7,0,1,0,0,9,27,48,17,10,10,0,10,4,1,0,0,0,0,0,0,0,0,0,5
561,CIN,1,3,0,0,0,0,5,15,22,4,1,1,1,9,2,0,0,0,0,0,0,0,0,0,0,5
562,MIA,1,68,0,5,2,15,63.2,191,275,54,26,19,3,68,29,6,6,0,0,1,1,0,0,0,0,5
563,STL,1,9,0,0,0,0,9,27,41,13,7,7,4,15,2,0,1,0,0,0,0,0,0,0,0,5
564,WSN,1,74,0,2,6,32,72.2,218,307,55,32,30,7,84,29,2,2,0,0,5,0,0,0,0,0,5
565,PHI,1,6,6,2,2,0,33,99,138,33,18,18,8,30,7,0,2,0,0,0,0,0,0,0,0,5
566,TBR,1,23,23,11,9,0,136.1,409,569,130,67,61,11,106,40,2,9,2,1,8,1,0,0,0,0,5
567,TOR,1,6,0,0,1,0,6.1,19,33,10,9,9,2,11,4,0,1,0,0,0,0,0,0,0,0,5
568,LAD,1,23,0,1,0,0,19.1,58,83,17,11,10,1,18,9,1,2,0,0,1,0,0,0,0,0,5
569,DET,1,66,0,2,3,1,54,162,245,71,28,24,5,51,18,4,1,0,0,3,0,0,0,0,0,5
570,CHC,1,17,1,0,2,0,24.1,73,119,37,20,20,5,16,12,0,0,0,0,1,0,0,0,0,0,5
571,KCR,1,42,0,0,0,0,51,153,217,41,23,21,10,65,26,3,1,0,0,1,0,0,0,0,0,5
572,KCR,1,72,0,5,4,0,69.2,209,295,55,29,26,8,93,34,8,2,0,0,3,0,0,0,0,0,5
573,ARI,1,28,11,5,3,0,90.1,271,375,92,39,37,13,80,22,2,0,0,0,1,0,0,0,0,0,5
574,OAK,1,24,24,10,9,0,152.1,457,636,161,62,58,17,91,23,3,1,0,0,0,0,0,0,0,0,5
575,KCR,1,3,0,0,0,0,8,24,37,12,6,6,0,3,3,0,0,0,0,1,0,0,0,0,0,5
576,PHI,1,17,0,1,0,0,13.2,41,56,13,10,8,1,15,3,0,1,0,0,0,0,0,0,0,0,5
577,BOS,1,18,18,4,11,0,94,282,411,117,68,59,15,20,21,1,1,1,1,2,0,0,0,0,0,5
578,OAK,1,71,0,6,2,14,73.1,220,288,42,18,17,4,80,27,4,4,0,0,4,0,0,0,0,0,5
579,ARI,1,22,17,6,8,1,107,321,454,117,56,54,14,86,25,2,4,0,0,1,0,0,0,0,0,5
580,TOR,1,41,0,3,5,2,34.1,103,160,48,24,22,7,26,14,3,1,0,0,4,0,0,0,0,0,5
580,HOU,2,6,0,0,3,0,5,15,32,13,11,11,2,5,4,1,1,0,0,1,0,0,0,0,0,5
581,CHC,1,48,0,0,2,0,46.2,140,205,50,27,26,7,28,16,3,5,0,0,1,0,0,0,0,0,5
582,PIT,1,32,28,12,11,0,171,513,728,176,89,80,20,89,46,2,3,0,0,2,0,0,0,0,0,5
583,CHW,1,51,0,2,3,0,48,144,194,29,14,13,5,60,23,1,1,0,0,4,0,0,0,0,0,5
584,TOR,1,10,0,0,0,0,8,24,36,10,6,6,3,5,4,1,1,0,0,0,1,0,0,0,0,5
585,DET,1,3,3,1,1,0,12.1,37,59,15,13,13,2,9,11,0,0,0,0,1,0,0,0,0,0,5
586,KCR,1,73,0,3,1,2,64.2,194,260,54,27,25,4,65,22,2,1,0,0,4,0,0,0,0,0,5
587,PIT,1,43,0,1,1,3,35.2,107,162,39,12,11,3,33,19,0,3,0,0,1,0,0,0,0,0,5
588,HOU,1,52,0,1,1,0,55,165,253,65,38,37,8,46,29,0,2,0,0,3,0,0,0,0,0,5
589,CIN,1,33,33,19,9,0,217,651,888,205,73,67,15,170,49,5,12,2,0,1,3,0,0,0,0,5
590,CHW,1,9,9,3,4,0,53.2,161,238,57,35,34,7,30,23,0,1,0,0,5,0,0,0,0,0,5
591,TEX,1,29,29,16,9,0,191.1,574,816,156,89,83,14,221,89,1,10,0,0,8,0,0,0,0,0,5
592,BAL,1,1,0,1,0,0,2,6,8,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5
593,TBR,1,54,0,3,0,0,70.1,211,284,48,20,19,5,87,29,2,0,0,0,2,0,0,0,0,0,5
594,PHI,1,13,0,0,0,0,10.2,32,44,7,5,4,0,8,5,1,0,0,0,1,0,0,0,0,0,5
595,TBR,1,5,0,0,0,0,5,15,22,7,7,7,2,5,2,0,0,0,0,0,0,0,0,0,0,5
596,COL,1,3,3,0,2,0,10.2,32,53,17,14,11,5,6,2,0,0,0,0,2,0,0,0,0,0,5
597,LAD,1,1,0,0,0,0,0.2,2,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5
598,OAK,1,6,0,0,0,0,3,9,20,7,2,1,0,3,3,0,0,0,0,1,0,0,0,0,0,5
599,MIN,1,17,16,5,5,0,87.2,263,375,88,48,40,16,58,18,0,4,0,0,1,0,0,0,0,0,5
600,MIN,1,15,15,6,5,0,79,237,347,69,40,39,10,57,53,0,5,0,0,5,0,0,0,0,0,5
601,HOU,1,19,0,0,0,0,19,57,97,34,21,19,1,11,7,0,2,0,0,0,0,0,0,0,0,5
602,SEA,1,34,0,2,1,0,36.2,110,148,23,17,17,9,46,11,1,5,0,0,3,0,0,0,0,0,5
602,TOR,2,27,0,2,2,0,29.1,88,126,23,12,11,3,46,15,0,0,0,0,3,0,0,0,0,0,5
603,ATL,1,18,17,4,9,0,92.2,278,401,89,48,45,8,76,42,4,4,0,0,5,1,0,0,0,0,5
604,ARI,1,1,0,0,1,0,1,3,6,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5
605,CHC,1,16,16,5,5,0,104,312,417,81,28,26,9,83,27,0,1,0,0,0,1,0,0,0,0,5
605,TEX,2,12,12,7,3,0,69,207,300,74,43,39,10,70,25,0,1,0,0,2,0,0,0,0,0,5
606,WSN,1,33,27,10,8,0,164.1,493,686,149,75,62,15,105,52,0,5,0,0,4,1,0,0,0,0,5
607,MIN,1,27,27,12,9,0,173,519,714,184,76,68,17,90,31,2,4,1,1,10,0,0,0,0,0,5
608,NYM,1,34,33,20,6,0,233.2,701,927,192,78,71,24,230,54,2,9,5,3,4,1,0,0,0,0,5
609,STL,1,4,0,0,0,0,6.1,19,32,10,7,5,2,6,2,0,0,0,0,0,0,0,0,0,0,5
610,PHI,1,32,0,1,1,0,27.1,82,131,25,17,12,1,35,20,3,3,0,0,1,0,0,0,0,0,5
611,MIL,1,34,0,0,2,0,37,111,166,45,21,18,3,29,14,2,1,0,0,0,0,0,0,0,0,5
612,CHC,1,34,0,2,4,4,38,114,173,40,29,27,5,24,23,1,3,0,0,1,0,0,0,0,0,5
613,OAK,1,44,0,2,1,1,47.1,142,191,40,18,16,3,60,11,1,0,0,0,0,0,0,0,0,0,5
614,DET,1,57,0,5,3,1,58,174,234,50,23,23,3,62,12,4,1,0,0,2,0,0,0,0,0,5
615,BOS,1,29,29,11,10,0,161,483,709,162,95,87,24,167,71,0,5,0,0,5,0,0,0,0,0,5
616,DET,1,18,0,2,1,0,20.2,62,86,18,8,8,1,20,9,2,1,0,0,1,0,0,0,0,0,5
617,LAA,1,57,0,1,1,9,45.2,137,194,43,17,16,3,32,17,2,0,0,0,1,0,0,0,0,0,5
618,TOR,1,13,13,4,7,0,71.1,214,317,67,41,37,10,47,47,0,1,0,0,7,0,0,0,0,0,5
619,MIN,1,55,11,4,12,0,109,327,472,126,71,62,10,69,27,3,2,0,0,5,0,0,0,0,0,5
620,KCR,1,6,6,2,2,0,27.2,83,121,26,13,12,2,28,18,1,0,0,0,0,1,0,0,0,0,5
621,WSN,1,8,0,1,0,0,13.2,41,56,11,2,2,0,10,4,0,0,0,0,0,0,0,0,0,0,5
622,MIA,1,60,0,0,3,1,44,132,208,49,31,24,3,47,29,8,0,0,0,2,0,0,0,0,0,5
623,ATL,1,76,0,4,1,1,61,183,257,52,25,21,9,49,28,3,0,0,0,1,0,0,0,0,0,5
624,TOR,1,2,0,0,0,0,0.2,2,8,4,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,5
625,NYM,1,34,0,1,2,0,25.2,77,107,19,14,13,5,30,10,0,2,0,0,0,0,0,0,0,0,5
626,SFG,1,14,0,0,1,0,15.1,46,69,20,8,8,1,9,6,0,0,0,0,0,0,0,0,0,0,5
627,NYM,1,1,0,0,0,0,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
628,COL,1,15,0,0,0,0,15.2,47,72,21,11,11,1,9,2,0,0,0,0,0,0,0,0,0,0,5
629,LAD,1,43,0,1,1,0,32.2,98,133,27,8,8,3,29,13,1,1,0,0,3,0,0,0,0,0,5
630,LAD,1,2,0,0,2,0,2.2,8,19,6,6,6,0,3,4,2,1,0,0,0,0,0,0,0,0,5
631,LAA,1,3,0,0,0,0,3.2,11,20,7,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,5
632,LAD,1,10,10,1,6,0,56.1,169,241,63,27,26,5,34,20,2,0,0,0,1,0,0,0,0,0,5
632,MIA,2,12,12,3,7,0,63,189,285,70,32,31,5,44,27,1,3,0,0,0,0,0,0,0,0,5
633,NYY,1,59,0,1,2,0,46,138,194,46,19,17,3,32,17,2,0,0,0,2,0,0,0,0,0,5
634,COL,1,22,0,0,1,0,22.1,67,97,23,16,15,5,21,7,1,1,0,0,2,0,0,0,0,0,5
635,MIL,1,29,23,5,7,0,138.1,415,562,129,62,56,18,143,29,0,0,0,0,4,1,0,0,0,0,5
636,BAL,1,14,2,0,1,0,32.1,97,145,32,18,17,3,18,13,3,5,0,0,0,0,0,0,0,0,5
637,NYM,1,8,1,0,0,0,12.1,37,52,10,8,8,0,10,9,0,0,0,0,0,0,0,0,0,0,5
638,TBR,1,34,0,1,6,0,27,81,120,22,13,12,1,25,14,2,1,0,0,2,0,0,0,0,0,5
639,TEX,1,29,21,6,11,0,123.2,371,536,139,79,70,14,96,32,2,1,0,0,2,1,0,0,0,0,5
640,TEX,1,8,7,3,1,0,42.2,128,175,28,15,15,5,37,23,0,2,1,0,0,0,0,0,0,0,5
641,STL,1,2,0,0,0,0,1.2,5,9,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
641,HOU,2,18,0,0,1,0,23,69,107,24,13,11,4,17,17,4,2,0,0,4,1,0,0,0,0,5
642,MIN,1,35,0,2,1,0,35,105,141,25,9,8,3,32,9,4,1,0,0,0,0,0,0,0,0,5
643,MIL,1,23,22,9,10,0,127.2,383,539,125,56,53,12,135,36,0,2,0,0,4,0,0,0,0,0,5
644,LAD,1,5,5,0,2,0,26.2,80,115,25,8,8,2,20,12,0,2,0,0,4,0,0,0,0,0,5
645,OAK,1,19,0,0,0,0,21.2,65,89,16,9,8,2,14,15,1,0,0,0,2,0,0,0,0,0,5
646,DET,1,26,26,10,10,0,161.2,485,673,156,73,62,15,137,37,1,7,2,1,1,0,0,0,0,0,5
647,CHW,1,29,29,12,11,0,168,504,724,166,84,80,22,144,63,2,14,0,0,8,0,0,0,0,0,5
648,TEX,1,3,0,0,0,0,2,6,10,0,2,2,0,1,4,0,0,0,0,1,0,0,0,0,0,5
649,COL,1,24,24,6,7,0,113,339,502,145,71,70,15,76,22,5,8,0,0,2,0,0,0,0,0,5
